date,GLAD_year,ADMIN_NAME,PCODE,NDVI_mean,NDVI_median,NDVI_mode,EVI_mean,EVI_median,EVI_mode
05-03-00,2003,Ndola,ZM2011A20210,0.598867421,0.634716224,0.705334602,0.427301138,0.446164438,0.471708028
05-03-00,2003,Chipata,ZM2011A20302,0.662672011,0.685709489,0.732443302,0.440139473,0.439508468,0.42387201
05-03-00,2003,Lundazi,ZM2011A20304,0.617423906,0.65031113,0.658299069,0.378816606,0.376972287,0.365095984
05-03-00,2003,Mambwe,ZM2011A20305,0.752183086,0.759819267,0.768187403,0.530718072,0.540155556,0.540155556
05-03-00,2003,Nyimba,ZM2011A20306,0.644752674,0.677005882,0.740547403,0.447139557,0.467358654,0.506199504
05-03-00,2003,Petauke,ZM2011A20307,0.649745473,0.681613873,0.689530155,0.428276684,0.439447481,0.443299884
05-03-00,2003,Chadiza,ZM2011A20312,0.602080904,0.627062982,0.661766045,0.361728402,0.364152319,0.36044489
05-03-00,2003,Katete,ZM2011A20313,0.620331377,0.642722186,0.697379769,0.392086231,0.396506511,0.400337939
05-03-00,2003,Chienge,ZM2011A20401,0.657677777,0.665644444,0.654310927,0.448584381,0.45513231,0.450784149
05-03-00,2003,Kawambwa,ZM2011A20404,0.665286408,0.673616667,0.673616667,0.454466019,0.4579,0.451616667
05-03-00,2003,Mansa,ZM2011A20406,0.673085918,0.6956,0.684766667,0.462284804,0.4672,0.4561
05-03-00,2003,Milenge,ZM2011A20407,0.707598589,0.70915,0.729675,0.475835693,0.4777875,0.4777875
05-03-00,2003,Nchelenge,ZM2011A20410,0.695651977,0.716294444,0.779547826,0.489942514,0.50524,0.5017
05-03-00,2003,Mwense,ZM2011A20414,0.703036863,0.701914286,0.7099,0.449056614,0.4464,0.432828571
05-03-00,2003,Samfya,ZM2011A20415,0.612717924,0.6088,0.5177,0.391102407,0.3928,0.3308
05-03-00,2003,Luangwa,ZM2011A20505,0.635333801,0.641,0.2581,0.453365169,0.4612,0.2318
05-03-00,2003,Lusaka,ZM2011A20506,0.644226461,0.650244523,0.729171153,0.461510219,0.458466667,0.4631982
05-03-00,2003,Chongwe,ZM2011A20511,0.688801765,0.720839701,0.724576972,0.48086864,0.491272446,0.524361575
05-03-00,2003,Kafue,ZM2011A20512,0.733963991,0.740281019,0.732310543,0.524899737,0.529217074,0.529217074
05-03-00,2003,Chama,ZM2011A20601,0.715102798,0.725721429,0.745111111,0.440161587,0.44038,0.44038
05-03-00,2003,Isoka,ZM2011A20603,0.634065246,0.6323,0.623886667,0.386177945,0.37802,0.367943743
05-03-00,2003,Mafinga,ZM2011A20604,0.688554601,0.684475,0.716257721,0.433864036,0.4205,0.38584
05-03-00,2003,Mpika,ZM2011A20605,0.687230695,0.704728571,0.693463333,0.433982766,0.427038889,0.411205263
05-03-00,2003,Nakonde,ZM2011A20606,0.662245543,0.676361003,0.7272,0.371362968,0.373821354,0.370035071
05-03-00,2003,Chinsali,ZM2011A20608,0.645589682,0.6495,0.661566667,0.384256644,0.377990909,0.36024
05-03-00,2003,Chilubi,ZM2011A20701,0.612418277,0.6218,0.5632,0.374135901,0.3726,0.338
05-03-00,2003,Kaputa,ZM2011A20702,0.663024846,0.6614625,0.66508,0.430257541,0.432566667,0.46372
05-03-00,2003,Kasama,ZM2011A20703,0.658892239,0.65285,0.640083333,0.399296533,0.393233333,0.3916625
05-03-00,2003,Luwingu,ZM2011A20704,0.693240235,0.7056,0.4807,0.476888361,0.4477,0.3753
05-03-00,2003,Mungwi,ZM2011A20707,0.656279657,0.6634,0.66136,0.396603529,0.40085,0.43994
05-03-00,2003,Mpulungu,ZM2011A20708,0.650372222,0.6573,0.6884,0.424856396,0.4199,0.39794
05-03-00,2003,Mbala,ZM2011A20713,0.636257462,0.651288889,0.651288889,0.388731815,0.3840125,0.372014286
05-03-00,2003,Mporokoso,ZM2011A20714,0.613836842,0.6402,0.7292,0.341089474,0.336,0.1932
05-03-00,2003,Chavuma,ZM2011A20801,0.548077277,0.544033333,0.56352,0.326957796,0.33315,0.315116667
05-03-00,2003,Ikelenge,ZM2011A20802,0.576560971,0.5514,0.6388,0.392765776,0.3443,0.4883
05-03-00,2003,Kasempa,ZM2011A20804,0.493950874,0.47464,0.5531,0.324283407,0.31925,0.446333333
05-03-00,2003,Mufumbwe,ZM2011A20806,0.623524704,0.6576,0.6809,0.378547106,0.384399792,0.37693
05-03-00,2003,Mwinilunga,ZM2011A20808,0.562694732,0.5743,0.1889,0.333629543,0.3275,0.1147
05-03-00,2003,Solwezi,ZM2011A20810,0.558634956,0.595266667,0.731720963,0.372237437,0.3927,0.490630888
05-03-00,2003,Zambezi,ZM2011A20811,0.624949965,0.6272,0.5563,0.360472231,0.364166667,0.3467875
05-03-00,2003,Kabompo,ZM2011A20814,0.630110055,0.65055,0.689788235,0.368791109,0.3809125,0.3809125
05-03-00,2003,Choma,ZM2011A20902,0.649302144,0.685481518,0.685481518,0.409912165,0.416252752,0.388436296
05-03-00,2003,Gwembe,ZM2011A20903,0.484883997,0.50265,0.658576923,0.335812484,0.337907143,0.35349
05-03-00,2003,Kazungula,ZM2011A20905,0.662753364,0.669817241,0.693389474,0.4185113,0.419050825,0.407228814
05-03-00,2003,Livingstone,ZM2011A20906,0.619910744,0.6266,0.61072,0.406503644,0.4113,0.3618
05-03-00,2003,Monze,ZM2011A20908,0.571552794,0.592082353,0.76000659,0.379888596,0.388867663,0.435487179
05-03-00,2003,Namwala,ZM2011A20909,0.631358718,0.673887986,0.74413498,0.381946795,0.387478261,0.379712
05-03-00,2003,Itezhi-Tezhi,ZM2011A20910,0.681031664,0.698075,0.677425,0.402898367,0.407116667,0.3583
05-03-00,2003,Siavonga,ZM2011A20911,0.594545902,0.630663636,0.697248649,0.420289702,0.44479,0.449948276
05-03-00,2003,Sinazongwe,ZM2011A20912,0.625206518,0.650372727,0.693962222,0.405270895,0.416203226,0.392402174
05-03-00,2003,Kalomo,ZM2011A20916,0.60116515,0.638688233,0.65436212,0.380133827,0.396607049,0.396607049
05-03-00,2003,Mazabuka,ZM2011A20917,0.493082845,0.478473913,0.259795833,0.383594746,0.361221898,0.20887541
05-03-00,2003,Kalabo,ZM2011A21001,0.521955634,0.5465,0.49005,0.33317269,0.348333333,0.315433333
05-03-00,2003,Mongu,ZM2011A21007,0.557118277,0.6655,0.1511,0.337077285,0.3968,0.106
05-03-00,2003,Senanga,ZM2011A21012,0.564056389,0.58756,0.66935,0.356982508,0.372641657,0.38746
05-03-00,2003,Shangombo,ZM2011A21014,0.498049571,0.5212,0.56176103,0.324814879,0.3311,0.430622222
05-03-00,2003,Kaoma,ZM2011A21018,0.558708374,0.5795,0.708882143,0.336201263,0.356375,0.377848387
05-03-00,2003,Lukulu,ZM2011A21019,0.549539373,0.5449,0.6194,0.358403676,0.3602,0.34855
05-03-00,2003,Sesheke,ZM2011A21020,0.597295498,0.611228571,0.689338095,0.38852367,0.38764,0.38764
21-03-00,2003,Chibombo,ZM2011A20101,0.678238273,0.681659654,0.673871878,0.401349789,0.399416827,0.411192148
21-03-00,2003,Kabwe,ZM2011A20105,0.663869128,0.662073581,0.634484451,0.390792764,0.385697054,0.372175458
21-03-00,2003,Kapiri Mposhi,ZM2011A20106,0.659023819,0.658242011,0.669795331,0.375645363,0.372069264,0.368140626
21-03-00,2003,Mkushi,ZM2011A20110,0.664029797,0.669834951,0.662107477,0.375491491,0.372089041,0.36817191
21-03-00,2003,Serenje,ZM2011A20111,0.657639706,0.665976471,0.65033,0.393053268,0.3996,0.39568
21-03-00,2003,Mumbwa,ZM2011A20113,0.708129787,0.713059596,0.709061871,0.441058023,0.447303893,0.458961878
21-03-00,2003,Chililabombwe,ZM2011A20201,0.744961341,0.763950501,0.791776471,0.436271703,0.434533333,0.415030769
21-03-00,2003,Chingola,ZM2011A20202,0.71694011,0.736572727,0.756025851,0.430942979,0.430746154,0.418761393
21-03-00,2003,Kalulushi,ZM2011A20203,0.744349318,0.75967985,0.802883905,0.447232748,0.454141935,0.430684
21-03-00,2003,Kitwe,ZM2011A20204,0.698067412,0.7099,0.721916667,0.416742895,0.41317907,0.390049399
21-03-00,2003,Luanshya,ZM2011A20205,0.694829788,0.697527267,0.732257886,0.457954595,0.463446374,0.436403531
21-03-00,2003,Lufwanyama,ZM2011A20206,0.744262066,0.759794398,0.767598021,0.462375487,0.466669625,0.494178765
21-03-00,2003,Masaiti,ZM2011A20207,0.71683744,0.720421574,0.717017589,0.446773627,0.43842324,0.411194083
21-03-00,2003,Mpongwe,ZM2011A20208,0.700293529,0.73275,0.771805263,0.427846979,0.431821875,0.423790798
21-03-00,2003,Mufulira,ZM2011A20209,0.72107576,0.736683641,0.744473114,0.442593835,0.443507915,0.47878
21-03-00,2003,Ndola,ZM2011A20210,0.686229533,0.693341347,0.708952136,0.450328552,0.456089658,0.477417261
21-03-00,2003,Chipata,ZM2011A20302,0.685960668,0.693561854,0.669947818,0.452535245,0.458960504,0.48230241
21-03-00,2003,Lundazi,ZM2011A20304,0.636195995,0.650576187,0.6622309,0.395353702,0.400254152,0.388765216
21-03-00,2003,Mambwe,ZM2011A20305,0.757692369,0.768409091,0.778216667,0.507967974,0.512568761,0.545664138
21-03-00,2003,Nyimba,ZM2011A20306,0.70918208,0.747806047,0.783141202,0.447800267,0.46303904,0.486789112
21-03-00,2003,Petauke,ZM2011A20307,0.690976387,0.701194435,0.693475263,0.430245184,0.427531397,0.400400187
21-03-00,2003,Chadiza,ZM2011A20312,0.634571473,0.646433621,0.673673097,0.373583037,0.372039345,0.344798287
21-03-00,2003,Katete,ZM2011A20313,0.648738827,0.666109055,0.677683614,0.394865676,0.396413397,0.353420338
21-03-00,2003,Chienge,ZM2011A20401,0.697918506,0.7043,0.692245614,0.440865196,0.444104832,0.452119018
21-03-00,2003,Kawambwa,ZM2011A20404,0.677612621,0.67906,0.67906,0.394094175,0.38645,0.38034
21-03-00,2003,Mansa,ZM2011A20406,0.702220476,0.724266667,0.70845,0.424712207,0.4281,0.41145
21-03-00,2003,Milenge,ZM2011A20407,0.695117744,0.69426,0.670833333,0.460763633,0.4683,0.477916667
21-03-00,2003,Nchelenge,ZM2011A20410,0.719098599,0.730108621,0.746184615,0.480083899,0.497897368,0.497897368
21-03-00,2003,Mwense,ZM2011A20414,0.707439388,0.709133333,0.724483333,0.411262132,0.409119233,0.409119233
21-03-00,2003,Samfya,ZM2011A20415,0.635479066,0.6229,0.5724,0.374441365,0.3805,0.2705
21-03-00,2003,Luangwa,ZM2011A20505,0.723913483,0.7296,0.5104,0.450400187,0.4377,0.2901
21-03-00,2003,Lusaka,ZM2011A20506,0.614357997,0.618968244,0.638816229,0.376115638,0.381539178,0.385521532
21-03-00,2003,Chongwe,ZM2011A20511,0.680606515,0.685616611,0.677892063,0.399101372,0.395312034,0.377959039
21-03-00,2003,Kafue,ZM2011A20512,0.688242533,0.696667742,0.685642272,0.414555916,0.423318773,0.431622018
21-03-00,2003,Chama,ZM2011A20601,0.723936807,0.728885185,0.759997596,0.469601961,0.469991447,0.4268625
21-03-00,2003,Isoka,ZM2011A20603,0.660656501,0.658771429,0.59074,0.392934731,0.3899875,0.39352
21-03-00,2003,Mafinga,ZM2011A20604,0.720923764,0.731520601,0.756675,0.448664305,0.443725,0.463949228
21-03-00,2003,Mpika,ZM2011A20605,0.675254454,0.681839303,0.670308333,0.431708186,0.43127619,0.377166667
21-03-00,2003,Nakonde,ZM2011A20606,0.698312238,0.702177778,0.702177778,0.408983176,0.41585,0.4224375
21-03-00,2003,Chinsali,ZM2011A20608,0.630947037,0.62394,0.606921865,0.40542451,0.404985714,0.397555556
21-03-00,2003,Chilubi,ZM2011A20701,0.685579896,0.697,0.6147,0.336770235,0.3431,0.2961
21-03-00,2003,Kaputa,ZM2011A20702,0.6923902,0.691927033,0.660963636,0.429632435,0.42286,0.3838
